Rk,Player,Tm▲,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,-9999
1,Vit Krejci,ATL,$1563518,$1836096,$1988598,,,,$781759,krejcvi01
2,Aaron Holiday,ATL,$1836090,,,,,,$1836090,holidaa01
3,Frank Kaminsky,ATL,$1836090,,,,,,$1836090,kaminfr01
4,Jalen Johnson,ATL,$2792640,$2925360,$4510905,,,,$2792640,johnsja05
5,AJ Griffin,ATL,$3536160,$3712920,$3889920,$5967137,,,$7249080,griffaj01
6,Justin Holiday,ATL,$6292440,,,,,,$6292440,holidju01
7,Onyeka Okongwu,ATL,$6395160,$8109063,,,,,$6395160,okongon01
8,De'Andre Hunter,ATL,$9835881,,,,,,$9835881,huntede01
9,Dejounte Murray,ATL,$16571120,$17714000,,,,,$34285120,murrade01
10,Bogdan Bogdanović,ATL,$18000000,$18000000,,,,,$18000000,bogdabo01
11,Clint Capela,ATL,$18706896,$20616000,$22265280,,,,$61588176,capelca01
12,John Collins,ATL,$23500000,$25340000,$26580000,$26580000,,,$102000000,collijo01
13,Trae Young,ATL,$37096500,$40064220,$43031940,$45999660,$48967380,,$215159700,youngtr01
14,Demetrius Jackson,BOS,$92857,$92857,,,,,$185714,jacksde01
15,Sam Hauser,BOS,$1637966,$1927896,$2092344,,,,$5658206,hausesa01
16,Luke Kornet,BOS,$2133278,$2413304,,,,,$4546582,kornelu01
17,Payton Pritchard,BOS,$2239200,$4037277,,,,,$2239200,pritcpa01
18,Grant Williams,BOS,$4306281,,,,,,$4306281,willigr01
19,Danilo Gallinari,BOS,$16907880,$6802950,,,,,$13281950,gallida01
20,Robert Williams,BOS,$10937502,$11812501,$12687500,$13562499,,,$49000002,williro04
21,Derrick White,BOS,$16892857,$18107143,$19321429,,,,$54321429,whitede01
22,Marcus Smart,BOS,$17207142,$18583713,$19960284,$21336855,,,$77087994,smartma01
23,Malcolm Brogdon,BOS,$22600000,$22500000,$22500000,,,,$67600000,brogdma01
24,Al Horford,BOS,$26500000,,,,,,$19500000,horfoal01
25,Jaylen Brown,BOS,$28741071,$30723215,,,,,$59464286,brownja02
26,Jayson Tatum,BOS,$30351780,$32600060,$34848340,$37096620,,,$97800180,tatumja01
27,Kessler Edwards,BRK,$1637966,$1927896,,,,,$1637966,edwarke02
28,T.J. Warren,BRK,$1836090,,,,,,$1836090,warretj01
29,Edmond Sumner,BRK,$1968175,$2239943,,,,,$1968175,sumneed01
30,Day'Ron Sharpe,BRK,$2109480,$2210040,$3989122,,,,$2109480,sharpda01
31,Cam Thomas,BRK,$2138160,$2240160,$4041249,,,,$2138160,thomaca02
32,Jevon Carter,BRK,$6025000,$2239943,,,,,$3925000,carteje01
33,Patty Mills,BRK,$6479000,$6802950,,,,,$13281950,millspa02
34,Seth Curry,BRK,$8496653,,,,,,$8496653,curryse01
35,Nic Claxton,BRK,$8500000,$8750000,,,,,$17250000,claxtni01
